ngoId,fiscalYear,totalIncome,totalGrant,totalExpense,fulltimeEmployees,fulltimeVolunteers
27169f92-44ab-36a1-bd71-e394f5ffb61b,,,,,19,30
16c2a19b-d1f7-3913-a187-2c93a9fbf6cd,,,,,33,
3ded02ff-9ee4-37ad-8372-09dc9115ae4c,,,,,52,0
5fa31fb2-2a57-3c06-b2da-1911ba6c78cf,,,,,5,150
22c03c39-75e9-3678-873d-4f9c74eda1c6,,,,,36,58
5aa80a94-23f9-3fdd-ad61-0e1b09e6153e,,,,,1,5
88442d7c-355d-3f3d-9dcf-faaf9c8f6c1a,,,,,9,2
39b6f327-3f58-39f8-af61-618162384df1,,,,,42,140
744a64ea-e53b-37d4-9cc9-2626f2ed6a09,,,,,63,71
7629fb2e-fe6d-3013-b368-9fa54cd40c03,,,,,280,2
df103de4-07ea-3113-8c6e-a192f09e12fe,,,,,150,20
fe1093c1-46f9-352b-8ac0-dfcf41c856a8,FY 2019-20,,,15000000,42,11
59e7e73b-56d9-38dd-b68e-3f5dd412744f,FY 2019-20,,,5,0,15
81c4ce77-295e-39dc-958c-7f1435a204bd,,,,,120,
d099db2b-a15a-319b-a9e9-6d314e6feb8f,,,,,10,125
6c6609a4-5205-36b8-9853-bb5f74528b5a,FY 2018-19,,,1810767,22,12
b9b45aa7-6fda-3e34-9f47-2fe397ebecd7,,,,,53,20
7ba26bf4-0094-325f-be06-aebe0c6dd6cc,,,,,8,50
13a78892-33a0-327d-94e0-ef5dea1e1895,FY 2018-19,,,25 lakhs,12,254
9a714882-4b5e-3746-aef6-26ea884b2a8c,FY 2018-19,,,300000,2,5
fe9e9214-301f-3264-a471-7215cd539e43,,,,,37,125
37567715-0798-3d3b-ba8f-2a965d39c3d9,,,,,20,8
864b80aa-6e65-307b-a1c3-6c952afc499a,,,,,4,32
d3d38d07-f98a-3ec5-9c91-e7f63004fcbe,,,,,23,1
ca4efa84-4098-3db2-abd4-310976339b76,,,,,14,26
ea8482ca-9785-3561-b639-6af3793ffec8,,,,,17,20
8c761f3a-fb6e-3dc0-b4d7-2ddccc5a2f23,,,,,78,31
6e32b1d4-38f9-3d5a-8bf2-34133f43416b,,,,,30,7
4085abb7-9e15-3f35-a7e7-ee7a1820f3a5,,,,,39,29
9b6c70cb-c985-3808-aefa-1c1bbb1d6dd4,,,,,61,8
edefedcd-e97a-374c-b9a9-346d658d7c69,,,,,12,7
aa2603f5-82a0-36a6-a4d3-b1496c092c32,,,,,1,7
312b5adc-1a6f-32f4-b8cd-452e0b86de25,,,,,13,3
090e5296-d0e4-3102-85f6-ba37a8565466,,,,,3,50
979e4a81-5c3f-3166-94c9-298576876ad7,,,,,708,0
7ebf30fa-6078-3a4a-ab9b-4eb9657b9ad5,FY 2018-19,,,,11,2
a97a349d-ba38-35f5-bbb0-829048513dac,FY 2017-18,,,2048044,11,
02ebe66a-81de-3a95-bbb2-00f5662b9222,,,,,31,0
6f54b089-9de8-3715-a3ef-669f304737bb,,,,,17,35
eb64252c-724a-3532-b8dd-06c06cdd4ce5,,,,,102,2
21795eda-e551-3c6b-86d4-84f50d59b0a7,,,,,40,10
4597cd18-7131-3074-9b78-cbc0ac9bea7b,,,,,100,30
722a7cab-3f0e-38d7-9069-fe04a945bdd6,,,,,9,25
76293662-0aca-3102-8606-73d1b5b0b141,,,,,20,32
05b86793-59e4-3608-95fb-a1bc5f8eacd7,,,,,35,25
99a5816f-9136-35f2-9c7d-42bef809b491,FY 2018-19,,,,31,1
0f7d306d-3510-3792-afe8-a505d1e4761b,FY 2019-20,,,,15,1
2d4eb1f3-4539-35d2-bc26-ae968afe7440,,,,,7,10
ea82a64b-0649-344d-b20c-579561f8d77f,FY 2018-19,,,,7,95
87b7b637-9952-3e32-8ac0-b6b16e1ee62a,,,,,32,45
76dd8727-2ba4-37eb-a095-33dd8802bd16,FY 2018-19,,,4187879,18,4
bc5b8a70-26de-3156-be7a-1363a3d6207e,,,,,60,4
11ebeb56-e6e1-3a35-9406-8a6b7aa98405,FY 2018-19,,,below 5 lakh,4,12
c34b52b6-8217-3a25-953f-aa930f03da28,,,,,28,5
0e1a1685-7160-3afb-abb0-f9b026221344,,,,,10,150
4f65ca94-0c2f-34ef-8c7a-75d613b6cf72,,,,,72,0
9a866191-310b-3d42-be88-509996271cc2,FY 2018-19,,,,10,500
1e0d8d13-88f8-3163-b5fe-b19fa209612a,,,,,7,4
dc60cbb5-64ec-3a1e-baf5-8a698c9ebd02,,,,,138,3
07caad4c-36f8-3be5-8409-0005269b59fa,,,,,16,10
134110a6-5b38-3648-a31f-0d17de115486,FY 2017-18,,,2600000,21,13
492882b6-602f-3a93-9b41-0cae6c204c4b,,,,,41,6
11dbcb7d-1abe-3ec0-b699-8b8e6feaa58a,FY 2017-18,,,8,4,12
08177d53-1bf2-3515-a716-f581c88ec7c4,,,,,9,15
dfdd9677-6d49-39ca-aff4-6a13b2a7e421,,,,,60,3
42c53424-d0b3-3f06-a6a6-cc2b8357567d,,,,,15,11
a3b22b39-66cd-3f9b-9c2f-e8f466a9fdec,,,,,2,15
65f1ee86-e979-334f-a00a-b54d2bd8cc7d,FY 2018-19,,,4507217.87,5,
e0a1e473-6d64-3117-a5c6-b92f771b3d2d,,,,,2,8
65cbbee6-6250-3ab3-8487-102d3bdaeb96,,,,,20,10
56d1bf86-854b-37a4-83a4-04619668206f,,,,,56,1
5fdfaceb-f7db-3cfb-989d-9dcbe5722d1e,,,,,231,49
688f74f7-3526-3f02-8ea1-1725b4d37b74,,,,,478,
07eefe44-8c36-37b0-a5d6-4e6c76ea0f06,FY 2017-18,,,3776029,35,22
b6b0104f-404c-3682-ac1e-92a385de3882,,,,,230,
ae706469-ae2e-315e-bb7b-c89a23d17f4f,,,,,30,147
2ccbf916-8237-3bf3-90b2-f139e77f487d,,,,,49,80
5aeac1e8-d0ff-3e66-82b4-109af27f85ca,,,,,145,3
c51e6837-3998-3a83-ae08-829cd6fa392a,,,,,6,2
2cb8cdc1-cf42-3b7d-b7f9-bad1bc124adb,,,,,75,10
95bba2dd-c723-350f-a80f-2086e358643d,FY 2019-20,,,,9,20
c35a2612-78a3-3376-ac0c-32f9fe5b58f1,FY 2019-20,,,10.28865,1,
017a1546-e48c-3892-9d7b-ff3f5953162d,,,,,575,10
bd9678b2-cded-3bd0-8fee-ba3db0cdf6ef,,,,,4,226
a3a9046f-f10b-320b-b27a-4f394a8c3778,FY 2018-19,,,180670360,250,5
f4e0f209-2f0a-336d-b400-5ec7aeff2bd4,,,,,15,24
b15e4148-9bde-35d6-a2df-6fc957f8fbe3,,,,,20,100
5df50373-7b43-3dcb-abc3-286f6a084866,,,,,14,6
9cafec48-1f64-3219-8cb2-a08afb51ed08,,,,,20,6
12bb429a-691e-3cfb-84fd-2338cab9ffd8,FY 2018-19,,,361000,3,8
05fe2b12-b204-3456-830f-277ea2f9305f,,,,,43,6
ac9f2a1c-f649-3549-bbcc-89f3ca6c3c30,,,,,16,8
f8931bf8-1e38-3074-8c1e-e624afd33934,FY 2019-20,,,3467049,42,5
821db6b1-e7a1-30a9-af35-bc1fc68600e1,,,,,18,2
a46a6dc3-4621-3054-9890-69c61a446de4,,,,,240,17
124ba602-da6b-337b-86ae-2b53eb7ae96b,FY 2018-19,,,,60,
bb258fd9-3717-3d58-9fb0-51267583dfd4,,,,,,20
b1d4968a-f80f-3b39-b6ae-efc481cb11e1,,,,,28,16
cb29d9d4-ebc3-342f-ae9c-90adcfe65d13,FY 2018-19,,,,12,3
1dda0f98-ddc8-30bf-97d9-a20b3a7ed030,,,,,21,27
64b61fec-0dac-38b0-b886-1badfca7e6a1,,,,,7,51
bda8d11c-81fd-3aca-bf00-1ec5c400a52a,FY 2018-19,,,2847876,6,0
8d69ce13-5d63-389a-9ff5-aa20f6709098,,,,,290,12
e2d01ce2-8a19-3e85-8767-bf9161bd0edb,,,,,200,4000
c367eb5e-b9a7-3f2b-8e4c-d23396b8a3f2,,,,,13,2
58bcdb2e-7ecf-36c3-ab37-cec6a74410ea,FY 2018-19,,,1354000,4,15
88bd031a-fddb-387d-803f-bf7d65d5dc66,,,,,13,0
66edd7be-ad0e-3beb-a42c-893b80945208,,,,,272,150
3dfa7b13-044a-3c38-bfd5-757013779873,FY 2016-17,,,,20,4
64f914e8-8a21-35c9-b884-3172f92e976b,,,,,7,25
e73efa93-0911-32ac-a7ab-dd2837ad6e26,,,,,103,42
9e14114f-f789-3af7-9da8-fdcbebb99f37,,,,,515,2
352ce231-2e35-3e4d-b89f-05ef71e17751,,,,,12,32
22306ee3-70ad-37eb-b409-35348aed8480,,,,,163,9
0e63474e-0e44-3080-980d-3f7916c3169a,,,,,20,3
775c1cf1-fadc-3beb-9b7b-5abb89cf1ef6,,,,,7,8
73ce4239-890d-3367-8cd0-8facf77ab6f3,,,,,12,6
c130a017-19e2-3fe4-907b-3726909e57e0,,,,,16,27
09dbcd8a-b581-33c5-905e-fdf7ac33015f,,,,,6,25
24326dcf-ee20-3d27-8bcc-53d6f589835f,,,,,18,23
74a84872-ad43-3051-99a0-aea1cffc80e2,,,,,16,3
3aaef0bd-3232-31e8-9f28-2fdfa614def3,,,,,1,10
cf333c94-5cc7-3da6-b569-35518bbca2eb,,,,,20,4
12ff46c0-5cfa-3dd1-bfa9-aa84b6df5e0d,FY 2018-19,,,,65,7
1c5da23d-aa4f-32b1-a7a7-b9ec6b9ddd16,,,,,610,500
c3982f66-551b-349d-bbf6-5669997c0bfa,,,,,3,0
8b409323-4e97-3fa0-9654-97d786905129,,,,,9,0
1cec4e19-ab1a-33b3-8c2e-c6b7ab37a984,FY 2018-19,,,37549665,105,
28b92748-a1cc-3afe-aef5-799ac8410839,,,,,32,
97c3d3e6-ab31-38c2-8d21-6019473673aa,,,,,300,10
7ec84a55-767e-37db-a217-634ccbe63806,,,,,30,0
0f68643d-e731-3cf1-a670-beae0ba047d4,,,,,17,3
a1aeafeb-e696-31d2-b46d-76a80be455b6,,,,,27,45
6645bec5-e944-34d9-9383-409f02a22648,,,,,10,50
582f99b6-3eaf-3866-b743-e92eea081a3e,,,,,45,0
5a38599d-f335-3d54-a08a-602ce7a8cb71,,,,,15,2
61521b03-b6a1-31c1-9fbf-10807c7b42c7,,,,,2,10
a38eb834-2dfb-3078-ae96-80c3e8c31f35,,,,,4,3
97c4aff7-615f-3257-8c0b-9ef5b63182ca,,,,,36,1
bae478d2-d7b8-371b-b6bd-33bf0a45ef63,,,,,128,12
